Squadra,Ruolo,Calciatore,Squadra,V.Acq.
Raoul e il socio,D,Ramon,COM,10
Raoul e il socio,C,Barella,INT,48
Raoul e il socio,C,Brescianini,FIO,1
Raoul e il socio,C,De Bruyne,NAP,114
Raoul e il socio,C,Gaetano,CAG,1
Raoul e il socio,C,Jashari,MIL,1
Raoul e il socio,C,Loftus-Cheek,MIL,26
Raoul e il socio,C,Modric,MIL,51
Raoul e il socio,C,Neres,NAP,4
Raoul e il socio,A,David,JUV,183
Raoul e il socio,A,De Ketelaere,ATA,94
Raoul e il socio,A,Dybala,ROM,91
Raoul e il socio,A,Fullkrug,MIL,12
Raoul e il socio,A,Malen,ROM,109
Raoul e il socio,A,Pellegrino M.,PAR,74
Sporting Garra,P,Di Gregorio,JUV,101
Sporting Garra,P,Perin,JUV,1
Sporting Garra,P,Pinsoglio,JUV,1
Sporting Garra,D,Acerbi,INT,12
Sporting Garra,D,Ahanor,ATA,5
Sporting Garra,D,Akanji,INT,35
Sporting Garra,D,Bisseck,INT,1
Sporting Garra,D,Comuzzo,FIO,10
Sporting Garra,D,Dodò,FIO,46
Sporting Garra,D,Lazaro,TOR,7
Sporting Garra,D,Vasquez,GEN,16
Sporting Garra,C,Calhanoglu,INT,91
Sporting Garra,C,Fabbian,FIO,2
Sporting Garra,C,Freuler,BOL,7
Sporting Garra,C,Rabiot,MIL,98
Sporting Garra,C,Rowe,BOL,17
Sporting Garra,C,Taylor K.,LAZ,18
Sporting Garra,C,Tramoni M.,PIS,21
Sporting Garra,C,Vlasic,TOR,41
Sporting Garra,A,Cancellieri,LAZ,1
Sporting Garra,A,Cheddira,LEC,12
Sporting Garra,A,Laurientè,SAS,43
Sporting Garra,A,Martinez L.,INT,309
Sporting Garra,A,Rodriguez Je.,COM,6
Sporting Garra,A,Vaz,ROM,1
Tridente demoniaco,P,Maignan,MIL,100
Tridente demoniaco,P,Muric,SAS,5
Tridente demoniaco,P,Semper,PIS,1
Tridente demoniaco,D,Carlos Augusto,INT,40
Tridente demoniaco,D,Diego Carlos,COM,1
Tridente demoniaco,D,Gila,LAZ,20
Tridente demoniaco,D,Juan Jesus,NAP,5
Tridente demoniaco,D,Kempf,COM,8
Tridente demoniaco,D,Pavlovic,MIL,33
Tridente demoniaco,D,Romagnoli,LAZ,11
Tridente demoniaco,D,Zortea,BOL,17
Tridente demoniaco,C,Bernabè,PAR,21
Tridente demoniaco,C,Cristante,ROM,18
Tridente demoniaco,C,Fazzini,FIO,1
Tridente demoniaco,C,Mkhitaryan,INT,5
Tridente demoniaco,C,Pellegrini Lo.,ROM,16
Tridente demoniaco,C,Tourè I.,PIS,1
Tridente demoniaco,C,Vergara,NAP,25
Tridente demoniaco,C,Zielinski,INT,53
Tridente demoniaco,A,Cambiaghi,BOL,1
Tridente demoniaco,A,Dia,LAZ,1
Tridente demoniaco,A,Hojlund,NAP,302
Tridente demoniaco,A,Kean,FIO,269
Tridente demoniaco,A,Pedro,LAZ,1
Tridente demoniaco,A,Stulic,LEC,1
TurettaEPacciani FC,P,Butez,COM,21
TurettaEPacciani FC,P,Ravaglia F.,BOL,1
TurettaEPacciani FC,P,Skorupski,BOL,30
TurettaEPacciani FC,D,Bremer,JUV,70
TurettaEPacciani FC,D,Heggem,BOL,6
TurettaEPacciani FC,D,Kossounou,ATA,1
TurettaEPacciani FC,D,Mina,CAG,21
TurettaEPacciani FC,D,Olivera,NAP,7
TurettaEPacciani FC,D,Spinazzola,NAP,30
TurettaEPacciani FC,D,Terracciano F.,CRE,1
TurettaEPacciani FC,D,Zappacosta,ATA,14
TurettaEPacciani FC,C,Baturina,COM,54
TurettaEPacciani FC,C,Elmas,NAP,1
TurettaEPacciani FC,C,Fadera,SAS,1
TurettaEPacciani FC,C,Lobotka,NAP,5
TurettaEPacciani FC,C,McKennie,JUV,1
TurettaEPacciani FC,C,Paz N.,COM,181
TurettaEPacciani FC,C,Serdar,VER,8
TurettaEPacciani FC,C,Zaccagni,LAZ,141
TurettaEPacciani FC,A,Castro S.,BOL,144
TurettaEPacciani FC,A,Dallinga,BOL,2
TurettaEPacciani FC,A,Meister,PIS,1
TurettaEPacciani FC,A,Moreo,PIS,1
TurettaEPacciani FC,A,Vlahovic,JUV,189
TurettaEPacciani FC,A,Yildiz,JUV,251
Whiteam FC,P,Contini,NAP,1
Whiteam FC,P,Meret,NAP,90
Whiteam FC,P,Milinkovic-Savic V.,NAP,17
Whiteam FC,D,Buongiorno,NAP,43
Whiteam FC,D,De Winter,MIL,1
Whiteam FC,D,Doig,SAS,3
Whiteam FC,D,Ghilardi,ROM,1
Whiteam FC,D,Gosens,FIO,65
Whiteam FC,D,Kelly L.,JUV,16
Whiteam FC,D,Luperto,CRE,12
Whiteam FC,D,Norton-Cuffy,GEN,20
Whiteam FC,C,Conceicao,JUV,70
Whiteam FC,C,Da Cunha,COM,1
Whiteam FC,C,Gudmundsson A.,FIO,101
Whiteam FC,C,Malinovskyi,GEN,12
Whiteam FC,C,Samardzic,ATA,14
Whiteam FC,C,Strefezza,PAR,10
Whiteam FC,C,Thorstvedt,SAS,1
Whiteam FC,C,Zalewski,ATA,28
Whiteam FC,A,Boga,JUV,3
Whiteam FC,A,Davis K.,UDI,33
Whiteam FC,A,Durosinmi,PIS,41
Whiteam FC,A,Esposito Se.,CAG,54
Whiteam FC,A,Krstovic,ATA,231
Whiteam FC,A,Pinamonti,SAS,92
